CycleNet/iTransformer PredictiveEnvIV comparison
data: dataset/all_datasets.zip; seed=2021; K=3; pred_len=96
architecture: A2 classification + complementary_gate + direct_gated + conditional_gain=0.2

backbone dataset variant MSE MAE delta_MSE_vs_A0 relative_MSE_improvement_percent delta_MAE_vs_A0 relative_MAE_improvement_percent var_acc inv_acc corr_var_env corr_inv_env
cyclenet ETTh1 A0_backbone 0.376032114 0.393434823 +0.000000000 -0.000000 +0.000000000 -0.000000 nan nan nan nan
cyclenet ETTh1 A2_predictive_env 0.372495919 0.392640501 -0.003536195 +0.940397 -0.000794321 +0.201894 0.673689 0.545627 0.008183 0.007932
cyclenet ETTh2 A0_backbone 0.288459927 0.340827942 +0.000000000 -0.000000 +0.000000000 -0.000000 nan nan nan nan
cyclenet ETTh2 A2_predictive_env 0.284516722 0.337612033 -0.003943205 +1.366985 -0.003215909 +0.943558 0.588590 0.518996 0.010048 0.003186
cyclenet ETTm1 A0_backbone 0.317142546 0.358675271 +0.000000000 -0.000000 +0.000000000 -0.000000 nan nan nan nan
cyclenet ETTm1 A2_predictive_env 0.315540820 0.356238812 -0.001601726 +0.505049 -0.002436459 +0.679294 0.620006 0.552591 0.002872 0.002296
cyclenet ETTm2 A0_backbone 0.165867999 0.249164283 +0.000000000 -0.000000 +0.000000000 -0.000000 nan nan nan nan
cyclenet ETTm2 A2_predictive_env 0.168496326 0.250955492 +0.002628326 -1.584589 +0.001791209 -0.718887 0.559225 0.520382 0.002391 0.002478
cyclenet Electricity A0_backbone 0.139928043 0.235694990 +0.000000000 -0.000000 +0.000000000 -0.000000 nan nan nan nan
cyclenet Electricity A2_predictive_env 0.137882590 0.233137637 -0.002045453 +1.461789 -0.002557352 +1.085026 0.469513 0.513803 -0.001852 -0.002648
cyclenet ExchangeRate A0_backbone 0.081860498 0.199255645 +0.000000000 -0.000000 +0.000000000 -0.000000 nan nan nan nan
cyclenet ExchangeRate A2_predictive_env 0.082409903 0.199672446 +0.000549406 -0.671149 +0.000416800 -0.209179 0.669531 0.493750 0.018301 0.027090
cyclenet Weather A0_backbone 0.163897708 0.208101556 +0.000000000 -0.000000 +0.000000000 -0.000000 nan nan nan nan
cyclenet Weather A2_predictive_env 0.158502311 0.203189805 -0.005395398 +3.291930 -0.004911751 +2.360266 0.585459 0.528886 0.005516 0.002189
cyclenet Traffic A0_backbone 0.454830408 0.285637528 +0.000000000 -0.000000 +0.000000000 -0.000000 nan nan nan nan
cyclenet Traffic A2_predictive_env 0.437484443 0.276636302 -0.017345965 +3.813721 -0.009001225 +3.151275 0.653156 0.717925 -0.001515 0.000345
itransformer ETTh1 A0_backbone 0.384988785 0.405389994 +0.000000000 -0.000000 +0.000000000 -0.000000 nan nan nan nan
itransformer ETTh1 A2_predictive_env 0.384427011 0.403477222 -0.000561774 +0.145920 -0.001912773 +0.471835 0.609066 0.435318 0.013712 0.013038
itransformer ETTh2 A0_backbone 0.306687504 0.352468371 +0.000000000 -0.000000 +0.000000000 -0.000000 nan nan nan nan
itransformer ETTh2 A2_predictive_env 0.311745226 0.352947444 +0.005057722 -1.649145 +0.000479072 -0.135919 0.527991 0.435555 0.002215 0.003858
itransformer ETTm1 A0_backbone 0.338193327 0.372324914 +0.000000000 -0.000000 +0.000000000 -0.000000 nan nan nan nan
itransformer ETTm1 A2_predictive_env 0.344581872 0.371869981 +0.006388545 -1.889022 -0.000454932 +0.122187 0.611627 0.469813 0.007593 0.014428
itransformer ETTm2 A0_backbone 0.190464377 0.271288097 +0.000000000 -0.000000 +0.000000000 -0.000000 nan nan nan nan
itransformer ETTm2 A2_predictive_env 0.195731729 0.270965308 +0.005267352 -2.765531 -0.000322789 +0.118984 0.544939 0.485234 0.005382 0.007664
itransformer Electricity A0_backbone 0.160722300 0.258844793 +0.000000000 -0.000000 +0.000000000 -0.000000 nan nan nan nan
itransformer Electricity A2_predictive_env 0.155018777 0.253700137 -0.005703524 +3.548682 -0.005144656 +1.987545 0.710883 0.563306 0.001792 0.000748
itransformer ExchangeRate A0_backbone 0.091501184 0.214187473 +0.000000000 -0.000000 +0.000000000 -0.000000 nan nan nan nan
itransformer ExchangeRate A2_predictive_env 0.096824795 0.218512133 +0.005323611 -5.818079 +0.004324660 -2.019100 0.613086 0.357227 0.010544 0.009021
itransformer Weather A0_backbone 0.178766519 0.217814982 +0.000000000 -0.000000 +0.000000000 -0.000000 nan nan nan nan
itransformer Weather A2_predictive_env 0.176881641 0.213773385 -0.001884878 +1.054380 -0.004041597 +1.855518 0.565893 0.480025 0.013867 0.007478
itransformer Traffic A0_backbone 0.422379941 0.293487161 +0.000000000 -0.000000 +0.000000000 -0.000000 nan nan nan nan
itransformer Traffic A2_predictive_env 0.415050089 0.287827194 -0.007329851 +1.735369 -0.005659968 +1.928523 0.291753 0.342046 0.000695 0.000366

overall_architecture_gain
cyclenet MSE_wins=6/8 mean_relative_MSE_improvement=+1.140517% MAE_wins=6/8 mean_relative_MAE_improvement=+0.936656%
itransformer MSE_wins=4/8 mean_relative_MSE_improvement=-0.704678% MAE_wins=6/8 mean_relative_MAE_improvement=+0.541197%
