experiment: long_term_forecast_ETTh1_32_8_A3_PatchTST_FPEM_ETTh1_ftM_sl32_ll16_pl8_dm16_nh4_el1_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_fpem_pmg_raw_raw_freezepatch_A3_cinv_B2_patternonly_zinv_C2_stablerelcorr_variant_V0_latentonly_rawvar_implcheck_smoke_0
representation_space: raw
graph/representation_space: raw
graph/projector_used: false
cinv/mode: pattern_only
zinv/mode: stable_relation_correction
variant/input_mode: latent_only
stage2/freeze_patch_embedding: true
zinv/initial_difference_from_hidden: 0
graph_source/variance: 0.9890363465
graph_source/norm: 3.95635585
query/variance: 0.9890363465
query/norm: 3.95635585
pattern/num_active: 73
graph/num_patterns: 73
pattern/mean_support: 151.0547943
pattern/mean_novelty: 0.2487035394
pattern/novelty_mean: 0.2487035394
pattern/null_rate: 0.2487035394
mapping/num_active_edges: 4779
graph/num_mappings: 4779
mapping/mean_support: 215.1389465
mapping/mean_novelty: 0.3424365819
mapping/novelty_mean: 0.3424365819
mapping/stable_delta_norm_mean: 3.097719193
mapping/stable_delta_norm_p90: 5.386972427
mapping/deviation_norm_mean: 2.261972904
mapping/deviation_norm_p90: 3.940843582
variant/activation_mean: 0.6364611983
variant/activation_p90: 0.6878486872
forecast/full_metric: 0.7123154998
forecast/inv_metric: 0.7123154998
forecast/env_gain: -0.007895410061
c_inv_mean: 0.3635388613
c_inv_p10: 0.312151283
c_inv_p50: 0.366612047
c_inv_p90: 0.4111730456
cinv/mean: 0.3635388613
cinv/p10: 0.312151283
cinv/p50: 0.366612047
cinv/p90: 0.4111730456
cinv/std: 0.03976224363
pattern/c_mean: 0.3635388613
pattern/c_shape_mean: 0.7512965798
pattern/c_rec_mean: 0.9562572837
pattern/c_pred_mean: 0.5049277544
mapping/c_mean: 0.5402986407
pattern/c_std: 0.03976224363
mapping/c_std: 0.04577992111
raw/pattern_distance_mean: 2.155881882
raw/pattern_distance_p90: 2.725462675
raw/reconstruction_error_mean: 0.3045564294
raw/deviation_norm_mean: 2.08496213
raw_deviation/norm_mean: 2.08496213
raw_deviation/norm_p90: 3.140034914
graph/correction_norm_mean: 0.001666431432
graph/correction_norm_p90: 0.003293199465
graph/gate_mean: 0.04370098934
graph/gate_p10: 0.01157375984
graph/gate_p50: 0.05572541431
graph/gate_p90: 0.05919727311
graph/context_norm_mean: 1.124552965
hidden/invariant_base_norm_mean: 1.048807263
zinv/norm_mean: 1.048772812
graph/correction_to_hidden_ratio: 0.001782514621
hidden/norm_mean: 3.880636692
zvar/norm_mean: 0.5416003466
zvar/norm_p90: 0.7834537029
raw_deviation_projected/norm_mean: 0
raw_deviation_projected/norm_p90: 0
raw_deviation_projected/to_hidden_ratio: 0
correlation/pearson_c_pat_sample_mse: 0.04935644503
correlation/spearman_c_pat_sample_mse: 0.1107082896
correlation/pearson_c_map_sample_mse: -0.01845607894
correlation/spearman_c_map_sample_mse: -0.0001544639896
correlation/pearson_c_inv_sample_mse: 0.04935644503
correlation/spearman_c_inv_sample_mse: 0.1107082896
correlation/pearson_graph_gate_sample_mse: 0.04937452727
correlation/spearman_graph_gate_sample_mse: 0.1108110003
correlation/pearson_correction_norm_sample_mse: 0.02531651143
correlation/spearman_correction_norm_sample_mse: 0.08501815554
correlation/pearson_mapping_deviation_norm_sample_mse: 0.0196657696
correlation/spearman_mapping_deviation_norm_sample_mse: -0.0004071520334
correlation/spearman_c_pat_raw_deviation_norm: -0.7548663361
correlation/spearman_raw_variation_zvar_norm: 0.5557351458
correlation/spearman_raw_variation_env_gain: 0.1641680265
correlation/spearman_c_shape_sample_mse: 0.1153374313
correlation/spearman_c_shape_sample_mae: 0.1362207086
c_shape/quantile_Q1_count: 575
c_shape/quantile_Q1_MSE: 0.643450141
c_shape/quantile_Q1_MAE: 0.5036206841
c_shape/quantile_Q1_mean: 0.631010294
c_shape/quantile_Q2_count: 575
c_shape/quantile_Q2_MSE: 0.6959285736
c_shape/quantile_Q2_MAE: 0.5388580561
c_shape/quantile_Q2_mean: 0.713529706
c_shape/quantile_Q3_count: 575
c_shape/quantile_Q3_MSE: 0.7980962992
c_shape/quantile_Q3_MAE: 0.5836436749
c_shape/quantile_Q3_mean: 0.7578573227
c_shape/quantile_Q4_count: 574
c_shape/quantile_Q4_MSE: 0.6931664944
c_shape/quantile_Q4_MAE: 0.5589017868
c_shape/quantile_Q4_mean: 0.8007214069
c_shape/quantile_Q5_count: 574
c_shape/quantile_Q5_MSE: 0.730935216
c_shape/quantile_Q5_MAE: 0.5715557337
c_shape/quantile_Q5_mean: 0.8536279202
correlation/spearman_c_rec_sample_mse: -0.03715256091
correlation/spearman_c_rec_sample_mae: -0.01376283725
c_rec/quantile_Q1_count: 575
c_rec/quantile_Q1_MSE: 0.7449970245
c_rec/quantile_Q1_MAE: 0.5498220921
c_rec/quantile_Q1_mean: 0.9463694096
c_rec/quantile_Q2_count: 575
c_rec/quantile_Q2_MSE: 0.7450208068
c_rec/quantile_Q2_MAE: 0.5608508587
c_rec/quantile_Q2_mean: 0.9533345103
c_rec/quantile_Q3_count: 575
c_rec/quantile_Q3_MSE: 0.7418963313
c_rec/quantile_Q3_MAE: 0.5625719428
c_rec/quantile_Q3_mean: 0.9567552805
c_rec/quantile_Q4_count: 574
c_rec/quantile_Q4_MSE: 0.6552672386
c_rec/quantile_Q4_MAE: 0.5335634947
c_rec/quantile_Q4_mean: 0.9600136876
c_rec/quantile_Q5_count: 574
c_rec/quantile_Q5_MSE: 0.6742306948
c_rec/quantile_Q5_MAE: 0.5496893525
c_rec/quantile_Q5_mean: 0.9648348093
correlation/spearman_c_pred_sample_mse: -0.006923526295
correlation/spearman_c_pred_sample_mae: -0.02377109258
c_pred/quantile_Q1_count: 575
c_pred/quantile_Q1_MSE: 0.7177615762
c_pred/quantile_Q1_MAE: 0.5496572256
