sample,mae_full,mae_inv_only,better_full_or_inv,mae_compare,better_full_or_compare
0,0.38026297092437744,0.3983110785484314,full,0.4108674228191376,full
1,0.3922109603881836,0.40527579188346863,full,0.4132038354873657,full
2,0.3939723074436188,0.4177654981613159,full,0.4320542514324188,full
3,0.3950609564781189,0.4190271496772766,full,0.43024691939353943,full
4,0.3927042782306671,0.404448002576828,full,0.41970008611679077,full
5,0.4014349579811096,0.4181479513645172,full,0.42999809980392456,full
6,0.4006090760231018,0.4138600528240204,full,0.43554866313934326,full
7,0.40366390347480774,0.43683910369873047,full,0.4050154983997345,full
8,0.4180960953235626,0.4598996043205261,full,0.4218490719795227,full
9,0.39357104897499084,0.44850367307662964,full,0.3758700489997864,compare
10,0.34677034616470337,0.42205286026000977,full,0.34243044257164,compare
11,0.305782675743103,0.377573162317276,full,0.32784855365753174,full
12,0.33629339933395386,0.35552066564559937,full,0.32926884293556213,compare
13,0.35563355684280396,0.3524380922317505,inv_only,0.3461276888847351,compare
14,0.38919731974601746,0.3599776029586792,inv_only,0.35198912024497986,compare
15,0.3645934760570526,0.3509291410446167,inv_only,0.3368050754070282,compare
16,0.3572746217250824,0.3396487534046173,inv_only,0.328152060508728,compare
17,0.3488391041755676,0.3398176431655884,inv_only,0.3274422883987427,compare
18,0.3313102126121521,0.33508047461509705,full,0.33192282915115356,full
19,0.33254295587539673,0.32629287242889404,inv_only,0.3171153664588928,compare
20,0.3345452547073364,0.329876571893692,inv_only,0.3124808669090271,compare
21,0.3357744812965393,0.3330831527709961,inv_only,0.3209393322467804,compare
22,0.3480789065361023,0.3391548991203308,inv_only,0.3139301538467407,compare
23,0.3442486822605133,0.32271045446395874,inv_only,0.30757975578308105,compare
24,0.3674984872341156,0.3361521363258362,inv_only,0.3204191029071808,compare
25,0.3651914894580841,0.3380860686302185,inv_only,0.31903818249702454,compare
26,0.3492545783519745,0.33568891882896423,inv_only,0.3227652609348297,compare
27,0.3626578748226166,0.34890061616897583,inv_only,0.3354581594467163,compare
28,0.34077757596969604,0.3395926356315613,inv_only,0.3292708098888397,compare
29,0.3809904456138611,0.3478443920612335,inv_only,0.334489107131958,compare
30,0.3635285794734955,0.3483603298664093,inv_only,0.3367118537425995,compare
31,0.35585924983024597,0.35200735926628113,inv_only,0.34448161721229553,compare
32,0.3847614526748657,0.356762558221817,inv_only,0.33775630593299866,compare
33,0.3665253818035126,0.35153672099113464,inv_only,0.33081838488578796,compare
34,0.3477024435997009,0.3475516140460968,inv_only,0.36618688702583313,full
35,0.3292883038520813,0.33680811524391174,full,0.3356183171272278,full
36,0.33672937750816345,0.3350377678871155,inv_only,0.3690289556980133,full
37,0.35649609565734863,0.3430059254169464,inv_only,0.39614301919937134,full
38,0.3630146384239197,0.3463208079338074,inv_only,0.4374527931213379,full
39,0.31376102566719055,0.3193766474723816,full,0.31157147884368896,compare
40,0.2996111214160919,0.31116747856140137,full,0.2985484004020691,compare
41,0.30325934290885925,0.2896842658519745,inv_only,0.2848990261554718,compare
42,0.31246572732925415,0.29149582982063293,inv_only,0.2968701422214508,compare
43,0.29119420051574707,0.29152506589889526,full,0.3167828321456909,full
44,0.2959286570549011,0.29975590109825134,full,0.2973281443119049,full
45,0.29252326488494873,0.3095226287841797,full,0.29448726773262024,full
46,0.28286606073379517,0.3173535168170929,full,0.2906496524810791,full
47,0.28554895520210266,0.30272918939590454,full,0.28444704413414,compare
48,0.28394508361816406,0.2992633581161499,full,0.27811628580093384,compare
49,0.26653143763542175,0.3044889271259308,full,0.2855071425437927,full
50,0.26528072357177734,0.303824782371521,full,0.28191572427749634,full
51,0.25287508964538574,0.3029278516769409,full,0.2909002900123596,full
52,0.2739219665527344,0.3100964426994324,full,0.3060377836227417,full
53,0.2865307331085205,0.3005501627922058,full,0.2953280806541443,full
54,0.27363306283950806,0.30534109473228455,full,0.2788057029247284,full
55,0.27149713039398193,0.3142433166503906,full,0.28490665555000305,full
56,0.2662486135959625,0.316852331161499,full,0.2665881812572479,full
57,0.24784129858016968,0.30117788910865784,full,0.261761337518692,full
58,0.262412428855896,0.2931032180786133,full,0.2862100303173065,full
59,0.2726905643939972,0.29769235849380493,full,0.29388362169265747,full
60,0.3044285476207733,0.306129515171051,full,0.31467053294181824,full
61,0.28119057416915894,0.30163896083831787,full,0.2759303152561188,compare
62,0.29167717695236206,0.3199996054172516,full,0.2944120764732361,full
63,0.31067025661468506,0.3307447135448456,full,0.31999534368515015,full
64,0.30944952368736267,0.3315632939338684,full,0.30705639719963074,compare
65,0.31877201795578003,0.3197411298751831,full,0.2929653525352478,compare
66,0.30205073952674866,0.32859477400779724,full,0.3077230155467987,full
67,0.30208852887153625,0.3180927038192749,full,0.3082582950592041,full
68,0.3050418496131897,0.32116958498954773,full,0.3162805140018463,full
69,0.30722588300704956,0.32724663615226746,full,0.3342674672603607,full
70,0.29864537715911865,0.31274059414863586,full,0.3308873772621155,full
71,0.3129873275756836,0.325179785490036,full,0.3261561691761017,full
72,0.31765440106391907,0.3391975462436676,full,0.3300841748714447,full
73,0.3162056803703308,0.34517401456832886,full,0.33594441413879395,full
74,0.3143156170845032,0.34885653853416443,full,0.32875630259513855,full
75,0.3052271008491516,0.35276472568511963,full,0.3323790431022644,full
76,0.30654093623161316,0.34513595700263977,full,0.327327162027359,full
77,0.3138260245323181,0.33660033345222473,full,0.33076176047325134,full
78,0.3035528063774109,0.3356587290763855,full,0.3269716501235962,full
79,0.3092662990093231,0.33688387274742126,full,0.32221314311027527,full
80,0.29132014513015747,0.34165871143341064,full,0.3195367157459259,full
81,0.3011474311351776,0.35738617181777954,full,0.3118579685688019,full
82,0.29123175144195557,0.3618730306625366,full,0.2811051905155182,compare
83,0.3120271563529968,0.3661777973175049,full,0.30114424228668213,compare
84,0.3291187882423401,0.37802132964134216,full,0.3188432455062866,compare
85,0.34630072116851807,0.37472039461135864,full,0.34343385696411133,compare
86,0.3206769526004791,0.3719402551651001,full,0.33751633763313293,full
87,0.4092121124267578,0.3515247702598572,inv_only,0.34763437509536743,compare
88,0.32366743683815,0.34728536009788513,full,0.32845911383628845,full
89,0.3197381794452667,0.3549576699733734,full,0.324081152677536,full
90,0.3618227243423462,0.35355812311172485,inv_only,0.3251095712184906,compare
91,0.35048726201057434,0.3476392924785614,inv_only,0.343540221452713,compare
92,0.34522324800491333,0.3420960307121277,inv_only,0.3409006893634796,compare
93,0.3363012969493866,0.34757229685783386,full,0.34256720542907715,full
94,0.3351110816001892,0.3547345697879791,full,0.32807838916778564,compare
95,0.33049115538597107,0.3572245240211487,full,0.3211975693702698,compare
96,0.35352638363838196,0.3652908504009247,full,0.3328043520450592,compare
97,0.339262992143631,0.35764673352241516,full,0.34110209345817566,full
98,0.3654381334781647,0.36446768045425415,inv_only,0.34907129406929016,compare
99,0.3978717625141144,0.3717781603336334,inv_only,0.34962138533592224,compare
100,0.3817167282104492,0.37899595499038696,inv_only,0.3466896414756775,compare
101,0.37399888038635254,0.37910860776901245,full,0.3473845422267914,compare
102,0.4061656892299652,0.36985257267951965,inv_only,0.35108697414398193,compare
103,0.3914520740509033,0.38596203923225403,inv_only,0.3612598478794098,compare
104,0.38168394565582275,0.3891248404979706,full,0.3702474534511566,compare
105,0.3592729866504669,0.36640527844429016,full,0.34365636110305786,compare
106,0.32889384031295776,0.3547305762767792,full,0.3270692825317383,compare
107,0.33907124400138855,0.3554554879665375,full,0.32425788044929504,compare
108,0.32069072127342224,0.34215492010116577,full,0.32792696356773376,full
109,0.3423399031162262,0.34595394134521484,full,0.35103553533554077,full
110,0.336745947599411,0.35976701974868774,full,0.3544542193412781,full
111,0.37713947892189026,0.3702281713485718,inv_only,0.3546045422554016,compare
112,0.34378352761268616,0.3627673089504242,full,0.3417263329029083,compare
113,0.3395299017429352,0.3601486384868622,full,0.3383048474788666,compare
114,0.3329773545265198,0.35522475838661194,full,0.335079163312912,full
115,0.33677956461906433,0.35894301533699036,full,0.33118313550949097,compare
116,0.3555743098258972,0.354398250579834,inv_only,0.32730647921562195,compare
117,0.35924893617630005,0.3531852662563324,inv_only,0.3393748104572296,compare
118,0.40222060680389404,0.3545733690261841,inv_only,0.33724284172058105,compare
119,0.38149380683898926,0.34304356575012207,inv_only,0.3405992388725281,compare
120,0.34175488352775574,0.3263135254383087,inv_only,0.3376886248588562,compare
121,0.35963571071624756,0.3270184397697449,inv_only,0.334898442029953,compare
122,0.4094802737236023,0.3122047781944275,inv_only,0.3246716558933258,compare
123,0.3796412944793701,0.3322693705558777,inv_only,0.33327341079711914,compare
124,0.3640214800834656,0.3407718241214752,inv_only,0.3358025848865509,compare
125,0.37326183915138245,0.33543136715888977,inv_only,0.3334418535232544,compare
126,0.32353442907333374,0.3339433968067169,full,0.33353129029273987,full
127,0.31881406903266907,0.33626049757003784,full,0.33312565088272095,full
128,0.34217211604118347,0.3506203293800354,full,0.3368023931980133,compare
129,0.36261558532714844,0.3563726246356964,inv_only,0.33662500977516174,compare
130,0.36590200662612915,0.35052546858787537,inv_only,0.3381640613079071,compare
131,0.40850621461868286,0.34516018629074097,inv_only,0.3725777268409729,compare
132,0.3735924959182739,0.3422301709651947,inv_only,0.37542271614074707,full
133,0.3925172686576843,0.35978296399116516,inv_only,0.37775352597236633,compare
134,0.3576762080192566,0.3870525062084198,full,0.36760175228118896,full
135,0.3629402816295624,0.3868286609649658,full,0.37841683626174927,full
136,0.38595250248908997,0.3956209421157837,full,0.39390650391578674,full
137,0.39350518584251404,0.4050064980983734,full,0.4069851040840149,full
138,0.40601298213005066,0.41012153029441833,full,0.4327786862850189,full
139,0.42093485593795776,0.42392781376838684,full,0.4482463300228119,full
140,0.42298221588134766,0.43486055731773376,full,0.45228269696235657,full
141,0.43088605999946594,0.45300066471099854,full,0.4493717551231384,full
142,0.4487360119819641,0.46986499428749084,full,0.43938392400741577,compare
143,0.44133296608924866,0.4687441885471344,full,0.43922823667526245,compare
144,0.43581855297088623,0.4672878384590149,full,0.44103023409843445,full
145,0.4195845425128937,0.46527472138404846,full,0.44649043679237366,full
146,0.4242933392524719,0.47753384709358215,full,0.4481218457221985,full
147,0.42575427889823914,0.48650678992271423,full,0.43313339352607727,full
148,0.43887776136398315,0.49795740842819214,full,0.45642298460006714,full
149,0.46181485056877136,0.48971232771873474,full,0.4571521580219269,compare
150,0.43162965774536133,0.48321712017059326,full,0.43986576795578003,full
151,0.43849074840545654,0.4973532557487488,full,0.45380133390426636,full
152,0.4399681091308594,0.4972245395183563,full,0.4489845633506775,full
153,0.4396195411682129,0.4951958656311035,full,0.42663857340812683,compare
154,0.40814468264579773,0.45861682295799255,full,0.4148156940937042,full
155,0.4050807058811188,0.44689977169036865,full,0.4065759778022766,full
156,0.4060077667236328,0.44940313696861267,full,0.4112282693386078,full
157,0.4169897437095642,0.455676406621933,full,0.41348111629486084,compare
158,0.4336540102958679,0.46400707960128784,full,0.42181453108787537,compare
159,0.4541139304637909,0.4659821391105652,full,0.4292636215686798,compare
160,0.4524514973163605,0.4695385694503784,full,0.4194391369819641,compare
161,0.455710232257843,0.47505977749824524,full,0.4145441949367523,compare
162,0.44155433773994446,0.475406289100647,full,0.42815664410591125,compare
163,0.4599904716014862,0.47143039107322693,full,0.42581042647361755,compare
164,0.44901785254478455,0.4655887186527252,full,0.4218231439590454,compare
165,0.431863933801651,0.4548090100288391,full,0.4314112067222595,compare
166,0.42738834023475647,0.44395312666893005,full,0.42257291078567505,compare
167,0.42970284819602966,0.4504657983779907,full,0.42900151014328003,compare
168,0.44097471237182617,0.4659925401210785,full,0.4484122097492218,full
169,0.4523894190788269,0.47355860471725464,full,0.44707953929901123,compare
170,0.44556865096092224,0.4869203269481659,full,0.44325974583625793,compare
171,0.45818957686424255,0.4753436744213104,full,0.44360941648483276,compare
172,0.45176687836647034,0.45931485295295715,full,0.4339936673641205,compare
173,0.4433215856552124,0.46591833233833313,full,0.4360572397708893,compare
174,0.44704321026802063,0.4690227508544922,full,0.4535910487174988,full
175,0.48132359981536865,0.48423758149147034,full,0.47819021344184875,compare
176,0.4768871068954468,0.48345106840133667,full,0.4687700867652893,compare
177,0.44224634766578674,0.46956899762153625,full,0.4419431686401367,compare
178,0.4287974536418915,0.4496101140975952,full,0.4189404249191284,compare
179,0.43046993017196655,0.44643765687942505,full,0.4122103750705719,compare
180,0.44093063473701477,0.4732407331466675,full,0.4187614321708679,compare
181,0.48207688331604004,0.4855133891105652,full,0.42666929960250854,compare
182,0.4907069206237793,0.4978327751159668,full,0.4454125463962555,compare
183,0.5059729218482971,0.49234336614608765,inv_only,0.45427390933036804,compare
184,0.48480698466300964,0.4908325970172882,full,0.45922043919563293,compare
185,0.50519198179245,0.4674259424209595,inv_only,0.45205843448638916,compare
186,0.4876076579093933,0.448489248752594,inv_only,0.4787276089191437,compare
187,0.48748743534088135,0.4390489161014557,inv_only,0.5008851885795593,full
188,0.4386226236820221,0.43609312176704407,inv_only,0.5029379725456238,full
189,0.43255069851875305,0.4488671123981476,full,0.4746028482913971,full
190,0.43229255080223083,0.4477137625217438,full,0.45879754424095154,full
191,0.43663984537124634,0.4457811713218689,full,0.45637771487236023,full
192,0.4606635868549347,0.45219531655311584,inv_only,0.449404776096344,compare
193,0.450114905834198,0.43624886870384216,inv_only,0.4509018063545227,full
194,0.4422440528869629,0.4406770169734955,inv_only,0.45880353450775146,full
195,0.4273267090320587,0.4278327524662018,full,0.4592536687850952,full
196,0.4380386173725128,0.4253423511981964,inv_only,0.4514795243740082,full
197,0.4279460906982422,0.42355021834373474,inv_only,0.4458501935005188,full
198,0.4494536221027374,0.42529726028442383,inv_only,0.44461745023727417,compare
199,0.4451570212841034,0.44045594334602356,inv_only,0.45240920782089233,full
200,0.4611639976501465,0.43062448501586914,inv_only,0.4601437747478485,compare
201,0.4221787452697754,0.41854745149612427,inv_only,0.37987297773361206,compare
202,0.36945125460624695,0.39090242981910706,full,0.31397315859794617,compare
203,0.35007885098457336,0.38053303956985474,full,0.30828753113746643,compare
204,0.33946293592453003,0.37426355481147766,full,0.3543401062488556,full
205,0.3641218841075897,0.3743504285812378,full,0.351236492395401,compare
206,0.36308449506759644,0.36546850204467773,full,0.34893885254859924,compare
207,0.36287739872932434,0.36888936161994934,full,0.35267168283462524,compare
208,0.35674312710762024,0.351913720369339,inv_only,0.34971389174461365,compare
209,0.34642061591148376,0.33407333493232727,inv_only,0.3488160967826843,full
210,0.33670860528945923,0.32072165608406067,inv_only,0.35214880108833313,full
211,0.3348782956600189,0.3154134750366211,inv_only,0.3576551079750061,full
212,0.3468509614467621,0.33308646082878113,inv_only,0.33941957354545593,compare
213,0.321235716342926,0.333553671836853,full,0.3170972466468811,compare
214,0.3223994970321655,0.33753374218940735,full,0.31754255294799805,compare
215,0.3302209973335266,0.3399600684642792,full,0.32668977975845337,compare
216,0.33287444710731506,0.3374984860420227,full,0.3178099989891052,compare
217,0.3306991457939148,0.34329548478126526,full,0.32203882932662964,compare
218,0.3358337879180908,0.34971702098846436,full,0.3236396312713623,compare
219,0.34383973479270935,0.3562236726284027,full,0.3270922005176544,compare
220,0.3327406942844391,0.3532235622406006,full,0.34071099758148193,full
221,0.3299770951271057,0.35058915615081787,full,0.34704717993736267,full
222,0.3428070843219757,0.35255205631256104,full,0.33174771070480347,compare
223,0.3348287343978882,0.35230886936187744,full,0.3481777608394623,full
224,0.33901533484458923,0.3609611690044403,full,0.3576013445854187,full
225,0.33976486325263977,0.3645026683807373,full,0.32513540983200073,compare
226,0.3216705322265625,0.3620074987411499,full,0.31582438945770264,compare
227,0.3276957869529724,0.3455161452293396,full,0.31283169984817505,compare
228,0.3426915407180786,0.342192143201828,inv_only,0.331730455160141,compare
229,0.3385017514228821,0.3589975833892822,full,0.3366151452064514,compare
230,0.37254345417022705,0.3615110516548157,inv_only,0.3672393560409546,compare
231,0.41270551085472107,0.38590049743652344,inv_only,0.3645956516265869,compare
232,0.3817918598651886,0.3899914026260376,full,0.3628215491771698,compare
233,0.35865193605422974,0.37564119696617126,full,0.3533969521522522,compare
234,0.34642037749290466,0.3718409836292267,full,0.3681876063346863,full
235,0.37837111949920654,0.3770090341567993,inv_only,0.37020382285118103,compare
236,0.38466137647628784,0.37565386295318604,inv_only,0.37600743770599365,compare
237,0.36644113063812256,0.39420169591903687,full,0.3570632338523865,compare
238,0.3750261664390564,0.38773614168167114,full,0.35633668303489685,compare
239,0.3703983426094055,0.38528555631637573,full,0.3597553074359894,compare
240,0.38357698917388916,0.37441834807395935,inv_only,0.3789724111557007,compare
241,0.4000161588191986,0.382783979177475,inv_only,0.402300626039505,full
242,0.3851621747016907,0.3725162446498871,inv_only,0.3893015682697296,full
243,0.3744858205318451,0.3715478777885437,inv_only,0.3991161584854126,full
244,0.37679895758628845,0.37851569056510925,full,0.4152979254722595,full
245,0.3856680691242218,0.38628843426704407,full,0.4183841943740845,full
246,0.39610177278518677,0.3722769618034363,inv_only,0.39012232422828674,compare
247,0.3910726308822632,0.381006121635437,inv_only,0.38482385873794556,compare
248,0.3626365661621094,0.3772554099559784,full,0.3700634837150574,full
249,0.37369000911712646,0.38369837403297424,full,0.38520848751068115,full
250,0.4136137366294861,0.3987196981906891,inv_only,0.39713242650032043,compare
251,0.39347466826438904,0.4054796099662781,full,0.39460551738739014,full
252,0.3964449167251587,0.43139299750328064,full,0.395907461643219,compare
253,0.4193399250507355,0.44301837682724,full,0.4250449240207672,full
254,0.4377974569797516,0.4406009614467621,full,0.4483596384525299,full
255,0.4481737017631531,0.4486467242240906,full,0.441251277923584,compare
256,0.4555908441543579,0.4532277286052704,inv_only,0.4418071508407593,compare
257,0.44019222259521484,0.43717384338378906,inv_only,0.43993982672691345,compare
258,0.43524226546287537,0.43629273772239685,full,0.4543817639350891,full
259,0.4523351788520813,0.4382769465446472,inv_only,0.4561735987663269,full
260,0.44992151856422424,0.4493623971939087,inv_only,0.4554683268070221,full
261,0.443987637758255,0.4544605016708374,full,0.4547903537750244,full
262,0.4520435333251953,0.42496463656425476,inv_only,0.4492243826389313,compare
263,0.42277413606643677,0.4197225272655487,inv_only,0.42745763063430786,full
264,0.4197787046432495,0.4340829849243164,full,0.434343159198761,full
265,0.4340977966785431,0.435702919960022,full,0.41433990001678467,compare
266,0.4220741093158722,0.4457721710205078,full,0.41064372658729553,compare
267,0.42777925729751587,0.45442432165145874,full,0.4108608365058899,compare
268,0.4232805073261261,0.4559839367866516,full,0.4160066843032837,compare
269,0.426551878452301,0.44931256771087646,full,0.4357229173183441,full
270,0.43297624588012695,0.452395498752594,full,0.44062379002571106,full
271,0.43704187870025635,0.4699628949165344,full,0.42664802074432373,compare
272,0.4166264235973358,0.47334998846054077,full,0.40588879585266113,compare
273,0.3801054358482361,0.4824111759662628,full,0.38595589995384216,full
274,0.38800767064094543,0.4812856912612915,full,0.380548894405365,compare
275,0.33829694986343384,0.4548792243003845,full,0.369235634803772,full
276,0.3505972921848297,0.44924601912498474,full,0.3575665354728699,full
277,0.3591685891151428,0.42153313755989075,full,0.3671402633190155,full
278,0.356980562210083,0.39539361000061035,full,0.3599933981895447,full
279,0.3637774884700775,0.36153438687324524,inv_only,0.362592875957489,compare
280,0.345474511384964,0.3394817113876343,inv_only,0.3563104271888733,full
281,0.3572283685207367,0.3441501259803772,inv_only,0.3581756353378296,full
282,0.38797634840011597,0.34743982553482056,inv_only,0.35437220335006714,compare
283,0.34978359937667847,0.34688371419906616,inv_only,0.3549249470233917,full
284,0.37609729170799255,0.34623101353645325,inv_only,0.3697962462902069,compare
285,0.4040471017360687,0.3616831600666046,inv_only,0.3751605749130249,compare
286,0.35379236936569214,0.36384010314941406,full,0.35897204279899597,full
287,0.3519037961959839,0.3566790521144867,full,0.3476480543613434,compare
288,0.35622209310531616,0.38573339581489563,full,0.36206749081611633,full
289,0.3411245048046112,0.37606650590896606,full,0.3416668176651001,full
290,0.3439417779445648,0.3839693069458008,full,0.3431885838508606,compare
291,0.33549726009368896,0.39107367396354675,full,0.3301053047180176,compare
292,0.3464448153972626,0.38470906019210815,full,0.34395143389701843,compare
293,0.3480130136013031,0.3914020359516144,full,0.3380177319049835,compare
294,0.3320596218109131,0.3851770758628845,full,0.33902814984321594,full
295,0.3466843366622925,0.39238476753234863,full,0.352888286113739,full
296,0.35554665327072144,0.39252108335494995,full,0.34755417704582214,compare
297,0.350041002035141,0.3897562026977539,full,0.33698493242263794,compare
298,0.33139562606811523,0.393314927816391,full,0.3202655613422394,compare
299,0.344814658164978,0.40128880739212036,full,0.34504246711730957,full
300,0.3611622750759125,0.4134231507778168,full,0.37934955954551697,full
301,0.38875317573547363,0.43051284551620483,full,0.4246588349342346,full
302,0.4007036089897156,0.43637189269065857,full,0.42969590425491333,full
303,0.4204639196395874,0.44750526547431946,full,0.42519411444664,full
304,0.3852618634700775,0.42647790908813477,full,0.3980526626110077,full
305,0.3756161034107208,0.41988492012023926,full,0.3746727705001831,compare
306,0.382048100233078,0.4112173020839691,full,0.3574141263961792,compare
307,0.370278000831604,0.40374094247817993,full,0.3649493157863617,compare
308,0.3731030225753784,0.4170670211315155,full,0.40457791090011597,full
309,0.39324334263801575,0.41735050082206726,full,0.39356932044029236,full
310,0.40009182691574097,0.4182567596435547,full,0.3922707736492157,compare
311,0.4095515310764313,0.41784587502479553,full,0.3827531039714813,compare
312,0.3748391270637512,0.40402090549468994,full,0.38789984583854675,full
313,0.36955180764198303,0.4120399057865143,full,0.37708157300949097,full
314,0.3772222399711609,0.4230840802192688,full,0.36346614360809326,compare
315,0.37006697058677673,0.41698846220970154,full,0.3570270538330078,compare
316,0.35735687613487244,0.3973393142223358,full,0.3430347144603729,compare
317,0.36685362458229065,0.3936408460140228,full,0.3555160462856293,compare
318,0.37796974182128906,0.3997369706630707,full,0.37376341223716736,compare
319,0.40231406688690186,0.41618746519088745,full,0.3675791919231415,compare
320,0.39114370942115784,0.41332685947418213,full,0.36367329955101013,compare
321,0.41136759519577026,0.4228565990924835,full,0.37177857756614685,compare
322,0.42756903171539307,0.42119672894477844,inv_only,0.3830161392688751,compare
323,0.3983616530895233,0.4308395981788635,full,0.370656281709671,compare
324,0.38595759868621826,0.41234689950942993,full,0.40261971950531006,full
325,0.4042874276638031,0.4286603033542633,full,0.425240695476532,full
326,0.39081668853759766,0.42319244146347046,full,0.39709559082984924,full
327,0.39927810430526733,0.4208240211009979,full,0.39436736702919006,compare
328,0.37065568566322327,0.39538219571113586,full,0.3652697503566742,compare
329,0.3807089328765869,0.388246089220047,full,0.3501209020614624,compare
330,0.39678600430488586,0.3851727247238159,inv_only,0.3456859290599823,compare
331,0.37044623494148254,0.3705921173095703,full,0.3410778045654297,compare
332,0.3656194508075714,0.35842636227607727,inv_only,0.3571539521217346,compare
333,0.37821164727211,0.35546502470970154,inv_only,0.3651542365550995,compare
334,0.3490774631500244,0.36667683720588684,full,0.3522983491420746,full
335,0.33564502000808716,0.3663056492805481,full,0.3598514497280121,full
336,0.3406693637371063,0.353437215089798,full,0.3563418388366699,full
337,0.3160233795642853,0.3500613868236542,full,0.33509060740470886,full
338,0.32977914810180664,0.36771470308303833,full,0.33603355288505554,full
339,0.33942553400993347,0.3742796778678894,full,0.3494764268398285,full
340,0.35494524240493774,0.37997210025787354,full,0.3458828628063202,compare
341,0.3673880398273468,0.37807920575141907,full,0.35764703154563904,compare
342,0.3687373697757721,0.3748250901699066,full,0.3548327386379242,compare
343,0.352234810590744,0.3711383044719696,full,0.3655073642730713,full
344,0.3354533016681671,0.35517632961273193,full,0.3448307514190674,full
345,0.3504316806793213,0.3543774485588074,full,0.37756264209747314,full
346,0.32449108362197876,0.34302452206611633,full,0.3701822757720947,full
347,0.3360360860824585,0.33444803953170776,inv_only,0.3623645603656769,full
348,0.32544761896133423,0.3436069190502167,full,0.3375519812107086,full
349,0.33791056275367737,0.3551817834377289,full,0.3407789170742035,full
350,0.34284883737564087,0.3496134579181671,full,0.3584297299385071,full
351,0.3623732328414917,0.34312430024147034,inv_only,0.3592882752418518,compare
352,0.3622976839542389,0.32717087864875793,inv_only,0.362261563539505,compare
353,0.3568596839904785,0.3320038318634033,inv_only,0.3693293333053589,full
354,0.3444282114505768,0.32999157905578613,inv_only,0.3386590778827667,compare
355,0.3413315415382385,0.32726752758026123,inv_only,0.34169653058052063,full
