experiment: long_term_forecast_ETTh1_32_8_A3_PatchTST_FPEM_ETTh1_ftM_sl32_ll16_pl8_dm16_nh4_el1_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_fpem_pmg_emb_A3_cinv_B1_softmap_cinv_check_smoke_0
representation_space: embedding
cinv/mode: soft_mapping
graph_source/variance: 0.6617423942
graph_source/norm: 3.761332532
query/variance: 0.03120614511
query/norm: 1
pattern/num_active: 89
pattern/mean_support: 164.0561829
pattern/mean_novelty: 0.2634648085
pattern/null_rate: 0.2634648085
mapping/num_active_edges: 7765
mapping/mean_support: 222.7227173
mapping/mean_novelty: 0.3481504917
variant/activation_mean: 0.7211173177
variant/activation_p90: 0.7660267949
forecast/full_metric: 0.7331498861
forecast/inv_metric: 0.7331498861
forecast/env_gain: -0.02760612965
c_inv_mean: 0.2788826823
c_inv_p10: 0.2339731604
c_inv_p50: 0.2766803205
c_inv_p90: 0.325132668
cinv/mean: 0.2788826823
cinv/p10: 0.2339731604
cinv/p50: 0.2766803205
cinv/p90: 0.325132668
cinv/std: 0.03540930152
pattern/c_mean: 0.3564561605
mapping/c_mean: 0.5668377876
correlation/pearson_c_pat_sample_mse: 0.04835069618
correlation/spearman_c_pat_sample_mse: -0.01634638822
correlation/pearson_c_map_sample_mse: -0.02913269272
correlation/spearman_c_map_sample_mse: -0.0365426505
correlation/pearson_c_inv_sample_mse: 0.02655883382
correlation/spearman_c_inv_sample_mse: -0.02589658532
cinv/bucket_0.0_0.2_count: 29
cinv/bucket_0.0_0.2_MSE: 0.9894129634
cinv/bucket_0.0_0.2_MAE: 0.6170700192
cinv/bucket_0.2_0.4_count: 2843
cinv/bucket_0.2_0.4_MSE: 0.730758667
cinv/bucket_0.2_0.4_MAE: 0.5591207743
cinv/bucket_0.4_0.6_count: 1
cinv/bucket_0.4_0.6_MSE: 0.09968425333
cinv/bucket_0.4_0.6_MAE: 0.2130393535
cinv/bucket_0.6_0.8_count: 0
cinv/bucket_0.6_0.8_MSE: nan
cinv/bucket_0.6_0.8_MAE: nan
cinv/bucket_0.8_1.0_count: 0
cinv/bucket_0.8_1.0_MSE: nan
cinv/bucket_0.8_1.0_MAE: nan

[stage0_warmup]
loaded_a0: False
a0_checkpoint: 
best_epoch: 1
train_loss: 0.4787505120038986
val_loss: 0.8009737282991409
test_loss: 0.705232784152031
projector_parameter_norm: 6.651442527770996
pattern_representation_variance: 0.014584423042833805
projector_grad_norm: 0.04613058269023895
