experiment: long_term_forecast_ETTh1_32_8_A5_PatchTST_FPEM_ETTh1_ftM_sl32_ll16_pl8_dm16_nh4_el1_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_fpem_pmg_raw_patchauto_A5_cinv_B2_patternonly_zinv_C2_stablerelcorr_variant_V0_latentonly_rawvar_implcheck_smoke_0
representation_space: raw
graph/representation_space: raw
graph/projector_used: false
cinv/mode: pattern_only
zinv/mode: stable_relation_correction
variant/input_mode: latent_only
stage2/freeze_patch_embedding: false
zinv/initial_difference_from_hidden: 0
graph_source/variance: 0.9890363465
graph_source/norm: 3.95635585
query/variance: 0.9890363465
query/norm: 3.95635585
pattern/num_active: 73
graph/num_patterns: 73
pattern/mean_support: 151.0547943
pattern/mean_novelty: 0.2487035394
pattern/novelty_mean: 0.2487035394
pattern/null_rate: 0.2487035394
mapping/num_active_edges: 4779
graph/num_mappings: 4779
mapping/mean_support: 215.1389465
mapping/mean_novelty: 0.3424365819
mapping/novelty_mean: 0.3424365819
mapping/stable_delta_norm_mean: 3.097719193
mapping/stable_delta_norm_p90: 5.386972427
mapping/deviation_norm_mean: 2.261972904
mapping/deviation_norm_p90: 3.940843582
variant/activation_mean: 0.6364611983
variant/activation_p90: 0.6878486872
forecast/full_metric: 0.7047373056
forecast/inv_metric: 0.7117499113
forecast/env_gain: 0.007012605667
c_inv_mean: 0.3635388613
c_inv_p10: 0.312151283
c_inv_p50: 0.366612047
c_inv_p90: 0.4111730456
cinv/mean: 0.3635388613
cinv/p10: 0.312151283
cinv/p50: 0.366612047
cinv/p90: 0.4111730456
cinv/std: 0.03976224363
pattern/c_mean: 0.3635388613
pattern/c_shape_mean: 0.7512965798
pattern/c_rec_mean: 0.9562572837
pattern/c_pred_mean: 0.5049277544
mapping/c_mean: 0.5402986407
pattern/c_std: 0.03976224363
mapping/c_std: 0.04577992111
raw/pattern_distance_mean: 2.155881882
raw/pattern_distance_p90: 2.725462675
raw/reconstruction_error_mean: 0.3045564294
raw/deviation_norm_mean: 2.08496213
raw_deviation/norm_mean: 2.08496213
raw_deviation/norm_p90: 3.140034914
graph/correction_norm_mean: 0.001628884231
graph/correction_norm_p90: 0.00328555773
graph/gate_mean: 0.04370769113
graph/gate_p10: 0.01157483179
graph/gate_p50: 0.05573249608
graph/gate_p90: 0.05920673534
graph/context_norm_mean: 1.120128751
hidden/invariant_base_norm_mean: 1.043289661
zinv/norm_mean: 1.04324317
graph/correction_to_hidden_ratio: 0.001746246242
hidden/norm_mean: 3.72681427
zvar/norm_mean: 0.5555841327
zvar/norm_p90: 0.8029620647
raw_deviation_projected/norm_mean: 0
raw_deviation_projected/norm_p90: 0
raw_deviation_projected/to_hidden_ratio: 0
correlation/pearson_c_pat_sample_mse: 0.04752201712
correlation/spearman_c_pat_sample_mse: 0.1136440213
correlation/pearson_c_map_sample_mse: -0.01548500058
correlation/spearman_c_map_sample_mse: 0.002693506301
correlation/pearson_c_inv_sample_mse: 0.04752201712
correlation/spearman_c_inv_sample_mse: 0.1136440213
correlation/pearson_graph_gate_sample_mse: 0.04752816926
correlation/spearman_graph_gate_sample_mse: 0.1137194366
correlation/pearson_correction_norm_sample_mse: 0.02217080695
correlation/spearman_correction_norm_sample_mse: 0.08720248773
correlation/pearson_mapping_deviation_norm_sample_mse: 0.01457617251
correlation/spearman_mapping_deviation_norm_sample_mse: -0.003588467665
correlation/spearman_c_pat_raw_deviation_norm: -0.7548663361
correlation/spearman_raw_variation_zvar_norm: 0.5426946267
correlation/spearman_raw_variation_env_gain: 0.0770971083
correlation/spearman_c_shape_sample_mse: 0.1179210451
correlation/spearman_c_shape_sample_mae: 0.1318673441
c_shape/quantile_Q1_count: 575
c_shape/quantile_Q1_MSE: 0.6385802627
c_shape/quantile_Q1_MAE: 0.4980556965
c_shape/quantile_Q1_mean: 0.631010294
c_shape/quantile_Q2_count: 575
c_shape/quantile_Q2_MSE: 0.6892072558
c_shape/quantile_Q2_MAE: 0.5314165354
c_shape/quantile_Q2_mean: 0.713529706
c_shape/quantile_Q3_count: 575
c_shape/quantile_Q3_MSE: 0.7871335745
c_shape/quantile_Q3_MAE: 0.5743155479
c_shape/quantile_Q3_mean: 0.7578573227
c_shape/quantile_Q4_count: 574
c_shape/quantile_Q4_MSE: 0.6867855787
c_shape/quantile_Q4_MAE: 0.5490325093
c_shape/quantile_Q4_mean: 0.8007214069
c_shape/quantile_Q5_count: 574
c_shape/quantile_Q5_MSE: 0.7219784856
c_shape/quantile_Q5_MAE: 0.5608670712
c_shape/quantile_Q5_mean: 0.8536279202
correlation/spearman_c_rec_sample_mse: -0.03334302232
correlation/spearman_c_rec_sample_mae: -0.01642625565
c_rec/quantile_Q1_count: 575
c_rec/quantile_Q1_MSE: 0.7429760098
c_rec/quantile_Q1_MAE: 0.5435330868
c_rec/quantile_Q1_mean: 0.9463694096
c_rec/quantile_Q2_count: 575
c_rec/quantile_Q2_MSE: 0.7381090522
c_rec/quantile_Q2_MAE: 0.5530911088
c_rec/quantile_Q2_mean: 0.9533345103
c_rec/quantile_Q3_count: 575
c_rec/quantile_Q3_MSE: 0.7295987606
c_rec/quantile_Q3_MAE: 0.5528594255
c_rec/quantile_Q3_mean: 0.9567552805
c_rec/quantile_Q4_count: 574
c_rec/quantile_Q4_MSE: 0.6441937685
c_rec/quantile_Q4_MAE: 0.5235655308
c_rec/quantile_Q4_mean: 0.9600136876
c_rec/quantile_Q5_count: 574
c_rec/quantile_Q5_MSE: 0.6686407924
c_rec/quantile_Q5_MAE: 0.540558517
c_rec/quantile_Q5_mean: 0.9648348093
correlation/spearman_c_pred_sample_mse: 0.0004930027015
correlation/spearman_c_pred_sample_mae: -0.01312170011
c_pred/quantile_Q1_count: 575
c_pred/quantile_Q1_MSE: 0.700227499
c_pred/quantile_Q1_MAE: 0.5370553732
