experiment	MSE	MAE	gP	gM	pattern_mass_inv	mapping_mass_inv	correction/H	deltaW_effect
E0	0.403167874	0.418127775	0.000000	0.000000	20.9274	0.4864	0.000000	0.000000
E1	0.393644542	0.411169171	0.000000	0.000000	20.9274	0.4864	0.754910	0.000000
E2	0.389436066	0.407556236	1.000000	0.000000	20.9274	0.4864	0.586149	0.000000
E3	0.389357507	0.407489330	0.001891	0.000000	20.9274	0.4864	0.586255	0.000000
E4	0.403505772	0.418220907	0.000000	0.000000	20.9274	0.4864	0.000000	0.000000
E5	0.393068671	0.410217077	0.000000	1.000000	20.9274	0.4864	0.000000	0.198697
E6	0.391747057	0.409771383	0.000000	0.052093	20.9274	0.4864	0.000000	0.360434
E7	0.393987566	0.411385775	0.000000	0.000000	20.9274	0.4864	0.754967	0.000000
E8	0.392431378	0.408786714	1.000000	1.000000	20.9274	0.4864	0.578905	0.286606
E9	0.391278774	0.407958180	0.001861	0.148731	20.9274	0.4864	0.579581	0.388978
