experiment: long_term_forecast_ETTh1_32_8_A5_PatchTST_FPEM_ETTh1_ftM_sl32_ll16_pl8_dm16_nh4_el1_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_fpem_pmg_raw_raw_freezepatch_A5_B2_C2_P2_M2_V0_fusion_F4_full_relation_R2_relation_smoke_v1_smoke_0
representation_space: raw
graph/representation_space: raw
graph/projector_used: false
cinv/mode: pattern_only
zinv/mode: stable_relation_correction
variant/input_mode: latent_only
predictive_stability/mode: relative_future
mapping/use_mode: delta_only
relation_mapping/mode: decomposed_full
relation_mapping/source_split: train
fusion/mode: typed_raw
fusion/typed_components: full
stage2/freeze_patch_embedding: true
zinv/initial_difference_from_hidden: 0
graph_source/variance: 0.9890363465
graph_source/norm: 3.95635585
query/variance: 0.9890363465
query/norm: 3.95635585
pattern/num_active: 73
graph/num_patterns: 73
pattern/mean_support: 151.0547943
pattern/mean_novelty: 0.2487035394
pattern/novelty_mean: 0.2487035394
pattern/null_rate: 0.2487035394
mapping/num_active_edges: 4773
graph/num_mappings: 4773
mapping/mean_support: 215.0555267
mapping/mean_novelty: 0.3399111927
mapping/novelty_mean: 0.3399111927
relation/total_edges: 4773
relation/p_inv_mean: 0.6075972915
relation/p_inv_median: 0.9999966621
relation/p_inv_p10: 0
relation/p_inv_p25: 0
relation/p_inv_p50: 0.9999966621
relation/p_inv_p75: 1
relation/p_inv_p90: 1
relation/p_var_mean: 0.3924027383
relation/p_var_median: 3.337860107e-06
relation/p_var_p10: 0
relation/p_var_p25: 0
relation/p_var_p50: 3.337860107e-06
relation/p_var_p75: 1
relation/p_var_p90: 1
relation/coverage_vs_p_inv_spearman: 0.8779538744
relation/coverage_vs_p_var_spearman: -0.8552740178
relation/entropy_vs_p_inv_spearman: 0.8860191389
relation/entropy_vs_p_var_spearman: -0.8746402715
relation/concentration_vs_p_inv_spearman: -0.8860191389
relation/concentration_vs_p_var_spearman: 0.8746402715
relation/active_variant_edges_mean: 7.322640419
relation/variant_activation_mean: 0.004510918632
relation/variant_activation_sample_std: 0.01141923387
relation/gate_mean: 0.0005419160007
relation/gate_std: 0.001371464925
relation/gate_p10: 8.474635251e-05
relation/gate_p50: 0.0002354848839
relation/gate_p90: 0.0008078370593
relation/correction_norm_mean: 1.987804353e-05
relation/gain_mean: 2.814386107e-06
relation/gain_median: 3.278255463e-07
relation/gain_positive_fraction: 0.7392969022
relation/relation_p_var_vs_gain_spearman: 0.2569920769
relation/relation_variant_activation_vs_gain_spearman: 0.3384496236
relation/relation_gate_vs_gain_spearman: 0.3387477145
mapping/stable_delta_norm_mean: 3.096850395
mapping/stable_delta_norm_p90: 5.388525963
mapping/deviation_norm_mean: 2.263271332
mapping/deviation_norm_p90: 3.940348864
variant/activation_mean: 0
variant/activation_p90: 0
forecast/full_metric: 0.711612761
forecast/inv_metric: 0.7121481299
forecast/env_gain: 0
c_inv_mean: 0.403735131
c_inv_p10: 0.3469974697
c_inv_p50: 0.4075123668
c_inv_p90: 0.4567541778
cinv/mean: 0.403735131
cinv/p10: 0.3469974697
cinv/p50: 0.4075123668
cinv/p90: 0.4567541778
cinv/std: 0.04444434121
pattern/c_mean: 0.403735131
pattern/c_shape_mean: 0.7512965798
pattern/c_rec_mean: 0.9569765925
pattern/c_pred_mean: 0.5601910353
future_ratio/min: 0.2836549282
future_ratio/p10: 0.6474322081
future_ratio/p25: 0.6898713708
future_ratio/p50: 0.7971787453
future_ratio/p75: 0.9521760345
future_ratio/p90: 1.185006857
future_ratio/max: 4.379221916
future_ratio/std: 0.5194519758
pattern_predictive_stability/min: 0.1859004945
pattern_predictive_stability/p10: 0.4578109682
pattern_predictive_stability/p25: 0.5122488737
pattern_predictive_stability/p50: 0.5564276576
pattern_predictive_stability/p75: 0.5917610526
pattern_predictive_stability/p90: 0.6070052981
pattern_predictive_stability/max: 0.7790255547
pattern_predictive_stability/std: 0.08245043457
mapping/c_mean: 0.5420520306
pattern/c_std: 0.04444434121
mapping/c_std: 0.0457642898
raw/signal_scale: pre_patch_normalization_not_physical_raw_units
raw/pattern_distance_mean: 2.155881882
raw/pattern_distance_p90: 2.725462675
raw/reconstruction_error_mean: 0.3039116561
raw/deviation_norm_mean: 2.081908464
raw_deviation/norm_mean: 2.081908464
raw_deviation/norm_p90: 3.140056849
raw_variation/shape_norm: 2.081908703
raw_variation/shift_signed: -0.61782974
raw_variation/scale_signed: -0.2240704
raw_variation/u_shift: 0.2865050435
raw_variation/u_scale: 0.3085734844
raw_variation/a_shape: 0.5962648988
raw_variation/a_geo: 0.4766611457
raw_variation/a_var: 0.7854249477
raw_variation/stable_level: -0.06105287373
raw_variation/current_level: 0.03343068808
raw_variation/stable_scale: 0.402679801
raw_variation/current_scale: 0.4877529442
raw_variation/raw_gate: 0
raw_variation/raw_correction_norm: 0
raw_variation/stable_reconstruction_norm: 3.161046505
variant/latent_norm: 0
variant/raw_correction_norm: 0
variant/final_norm: 0
typed_init/z_diff: 0
typed_init/shape_correction_norm: 0
typed_init/scale_log_mod_norm: 0
typed_init/shift_bias_norm: 0
typed/shape_variation_norm: 2.081908703
typed/shape_gate_mean: 0.07157624513
typed/shape_gate_p50: 0.05954447389
typed/shape_gate_p90: 0.1073563993
typed/scale_gate_mean: 0.03712422401
typed/scale_gate_p50: 0.01635875553
typed/scale_gate_p90: 0.102611348
typed/shift_gate_mean: 0.03478816152
typed/shift_gate_p50: 0.0152362166
typed/shift_gate_p90: 0.0953752175
typed/shape_correction_norm: 0.001595079666
typed/scale_signed_abs_mean: 0.623973906
typed/u_scale_mean: 0.3085734844
typed/log_scale_mod_mean: -5.703682109e-05
typed/log_scale_mod_abs_mean: 0.0004754923575
typed/scale_factor_mean: 0.9999434948
typed/scale_factor_p10: 0.9990113378
typed/scale_factor_p50: 1
typed/scale_factor_p90: 1.000906467
