sample,mae_full,mae_inv_only,better_full_or_inv
0,0.42810091376304626,0.44909849762916565,full
1,0.43843215703964233,0.45444250106811523,full
2,0.4323849678039551,0.45217445492744446,full
3,0.43036317825317383,0.4562731385231018,full
4,0.4437713623046875,0.4495586156845093,full
5,0.4591239392757416,0.4681066870689392,full
6,0.44963809847831726,0.4657718241214752,full
7,0.45295435190200806,0.47272682189941406,full
8,0.46241942048072815,0.4830721914768219,full
9,0.43829718232154846,0.4641284942626953,full
10,0.41226959228515625,0.4363257586956024,full
11,0.37223249673843384,0.3967043161392212,full
12,0.33947959542274475,0.3695252239704132,full
13,0.3661102056503296,0.3722338080406189,full
14,0.38839367032051086,0.37938132882118225,inv_only
15,0.3624841868877411,0.35661008954048157,inv_only
16,0.3690181076526642,0.34869393706321716,inv_only
17,0.3649482727050781,0.35360121726989746,inv_only
18,0.34391698241233826,0.35573476552963257,full
19,0.3554666340351105,0.35191214084625244,inv_only
20,0.35745587944984436,0.36505410075187683,full
21,0.34997954964637756,0.36011454463005066,full
22,0.32038334012031555,0.3476298451423645,full
23,0.3453371524810791,0.33710047602653503,inv_only
24,0.36494624614715576,0.36760082840919495,full
25,0.3809967041015625,0.3822329342365265,full
26,0.3699225187301636,0.38703346252441406,full
27,0.3960391581058502,0.39419955015182495,inv_only
28,0.3937915563583374,0.3881068527698517,inv_only
29,0.3971966505050659,0.38892582058906555,inv_only
30,0.39501863718032837,0.39903804659843445,full
31,0.3859633505344391,0.39646148681640625,full
32,0.368705689907074,0.3740764856338501,full
33,0.3620128631591797,0.36460912227630615,full
34,0.3428083658218384,0.34579190611839294,full
35,0.3277667760848999,0.3350240886211395,full
36,0.33228346705436707,0.3389049768447876,full
37,0.340105801820755,0.34476324915885925,full
38,0.34824255108833313,0.3544877767562866,full
39,0.3451870083808899,0.34263697266578674,inv_only
40,0.34769195318222046,0.33300772309303284,inv_only
41,0.306753933429718,0.2944106161594391,inv_only
42,0.3124980628490448,0.2992117404937744,inv_only
43,0.29189762473106384,0.3060298562049866,full
44,0.30142390727996826,0.31374484300613403,full
45,0.2981707453727722,0.3253431022167206,full
46,0.29941314458847046,0.32846325635910034,full
47,0.2999829351902008,0.31973689794540405,full
48,0.29313746094703674,0.3131907880306244,full
49,0.3023165464401245,0.3229675889015198,full
50,0.3303154408931732,0.3304198980331421,full
51,0.3281920850276947,0.350776344537735,full
52,0.35566630959510803,0.3778845965862274,full
53,0.36427295207977295,0.3795109987258911,full
54,0.3595523536205292,0.38027432560920715,full
55,0.34785735607147217,0.3708476722240448,full
56,0.301563024520874,0.3326684832572937,full
57,0.2857213616371155,0.3158707320690155,full
58,0.286187082529068,0.2941424548625946,full
59,0.2929835915565491,0.30079472064971924,full
60,0.31844791769981384,0.3180580735206604,inv_only
61,0.31395024061203003,0.32035455107688904,full
62,0.3288096487522125,0.3484157919883728,full
63,0.33236265182495117,0.33928364515304565,full
64,0.33893248438835144,0.3425222933292389,full
65,0.343514621257782,0.3507562279701233,full
66,0.3310319781303406,0.350853830575943,full
67,0.3441482484340668,0.3550412654876709,full
68,0.3286377787590027,0.33700117468833923,full
69,0.31073451042175293,0.3350107669830322,full
70,0.29581308364868164,0.313372939825058,full
71,0.3407207727432251,0.3439207077026367,full
72,0.3779760003089905,0.3744145333766937,inv_only
73,0.39697083830833435,0.3937796652317047,inv_only
74,0.3772125542163849,0.39237940311431885,full
75,0.36314907670021057,0.39275678992271423,full
76,0.3698350787162781,0.3918232321739197,full
77,0.3801531493663788,0.3945823609828949,full
78,0.36719533801078796,0.3936833143234253,full
79,0.375339150428772,0.39520299434661865,full
80,0.37151259183883667,0.3865318298339844,full
81,0.3598008155822754,0.3733638525009155,full
82,0.33864259719848633,0.35406026244163513,full
83,0.3510107696056366,0.359684556722641,full
84,0.36897239089012146,0.38682040572166443,full
85,0.3860126733779907,0.396870493888855,full
86,0.39089930057525635,0.394483357667923,full
87,0.39776352047920227,0.38019099831581116,inv_only
88,0.3715350031852722,0.36586639285087585,inv_only
89,0.3707525432109833,0.3740234375,full
90,0.36157259345054626,0.3765859305858612,full
91,0.3773175776004791,0.39092424511909485,full
92,0.40946951508522034,0.3764882981777191,inv_only
93,0.39281317591667175,0.3663301467895508,inv_only
