experiment: long_term_forecast_ETTh1_32_8_A5_PatchTST_FPEM_ETTh1_ftM_sl32_ll16_pl8_dm16_nh4_el1_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_fpem_pmg_raw_patchauto_A5_cinv_B2_patternonly_zinv_C2_stablerelcorr_variant_V1_rawdev_rawvar_implcheck_smoke_0
representation_space: raw
graph/representation_space: raw
graph/projector_used: false
cinv/mode: pattern_only
zinv/mode: stable_relation_correction
variant/input_mode: raw_deviation
stage2/freeze_patch_embedding: false
zinv/initial_difference_from_hidden: 0
graph_source/variance: 0.9890363465
graph_source/norm: 3.95635585
query/variance: 0.9890363465
query/norm: 3.95635585
pattern/num_active: 73
graph/num_patterns: 73
pattern/mean_support: 151.0547943
pattern/mean_novelty: 0.2487035394
pattern/novelty_mean: 0.2487035394
pattern/null_rate: 0.2487035394
mapping/num_active_edges: 4779
graph/num_mappings: 4779
mapping/mean_support: 215.1389465
mapping/mean_novelty: 0.3424365819
mapping/novelty_mean: 0.3424365819
mapping/stable_delta_norm_mean: 3.097719193
mapping/stable_delta_norm_p90: 5.386972427
mapping/deviation_norm_mean: 2.261972904
mapping/deviation_norm_p90: 3.940843582
variant/activation_mean: 0.6364611983
variant/activation_p90: 0.6878486872
forecast/full_metric: 0.7059435844
forecast/inv_metric: 0.7122482657
forecast/env_gain: 0.006304681301
c_inv_mean: 0.3635388613
c_inv_p10: 0.312151283
c_inv_p50: 0.366612047
c_inv_p90: 0.4111730456
cinv/mean: 0.3635388613
cinv/p10: 0.312151283
cinv/p50: 0.366612047
cinv/p90: 0.4111730456
cinv/std: 0.03976224363
pattern/c_mean: 0.3635388613
pattern/c_shape_mean: 0.7512965798
pattern/c_rec_mean: 0.9562572837
pattern/c_pred_mean: 0.5049277544
mapping/c_mean: 0.5402986407
pattern/c_std: 0.03976224363
mapping/c_std: 0.04577992111
raw/pattern_distance_mean: 2.155881882
raw/pattern_distance_p90: 2.725462675
raw/reconstruction_error_mean: 0.3045564294
raw/deviation_norm_mean: 2.08496213
raw_deviation/norm_mean: 2.08496213
raw_deviation/norm_p90: 3.140034914
graph/correction_norm_mean: 0.001646168064
graph/correction_norm_p90: 0.003326071193
graph/gate_mean: 0.04370637238
graph/gate_p10: 0.01157447137
graph/gate_p50: 0.05573115498
graph/gate_p90: 0.0592071712
graph/context_norm_mean: 1.120805979
hidden/invariant_base_norm_mean: 1.037677646
zinv/norm_mean: 1.037544966
graph/correction_to_hidden_ratio: 0.001775535871
hidden/norm_mean: 3.72500515
zvar/norm_mean: 0.5020815134
zvar/norm_p90: 0.7624567747
raw_deviation_projected/norm_mean: 1.304938316
raw_deviation_projected/norm_p90: 1.903769851
raw_deviation_projected/to_hidden_ratio: 0.3587650359
correlation/pearson_c_pat_sample_mse: 0.04747550188
correlation/spearman_c_pat_sample_mse: 0.114834012
correlation/pearson_c_map_sample_mse: -0.01668209601
correlation/spearman_c_map_sample_mse: 0.002025692996
correlation/pearson_c_inv_sample_mse: 0.04747550188
correlation/spearman_c_inv_sample_mse: 0.114834012
correlation/pearson_graph_gate_sample_mse: 0.04751183305
correlation/spearman_graph_gate_sample_mse: 0.1149490674
correlation/pearson_correction_norm_sample_mse: 0.0226205998
correlation/spearman_correction_norm_sample_mse: 0.09085081522
correlation/pearson_mapping_deviation_norm_sample_mse: 0.01742935494
correlation/spearman_mapping_deviation_norm_sample_mse: -0.002374662706
correlation/spearman_c_pat_raw_deviation_norm: -0.7548663361
correlation/spearman_raw_variation_zvar_norm: 0.631854147
correlation/spearman_raw_variation_env_gain: 0.08202357306
correlation/spearman_c_shape_sample_mse: 0.1193911256
correlation/spearman_c_shape_sample_mae: 0.1328336569
c_shape/quantile_Q1_count: 575
c_shape/quantile_Q1_MSE: 0.6385776401
c_shape/quantile_Q1_MAE: 0.4973250628
c_shape/quantile_Q1_mean: 0.631010294
c_shape/quantile_Q2_count: 575
c_shape/quantile_Q2_MSE: 0.6901381016
c_shape/quantile_Q2_MAE: 0.5310254693
c_shape/quantile_Q2_mean: 0.713529706
c_shape/quantile_Q3_count: 575
c_shape/quantile_Q3_MSE: 0.7901174426
c_shape/quantile_Q3_MAE: 0.5750297308
c_shape/quantile_Q3_mean: 0.7578573227
c_shape/quantile_Q4_count: 574
c_shape/quantile_Q4_MSE: 0.6884220839
c_shape/quantile_Q4_MAE: 0.5496189594
c_shape/quantile_Q4_mean: 0.8007214069
c_shape/quantile_Q5_count: 574
c_shape/quantile_Q5_MSE: 0.7224608064
c_shape/quantile_Q5_MAE: 0.5606990457
c_shape/quantile_Q5_mean: 0.8536279202
correlation/spearman_c_rec_sample_mse: -0.03453528744
correlation/spearman_c_rec_sample_mae: -0.01800641871
c_rec/quantile_Q1_count: 575
c_rec/quantile_Q1_MSE: 0.7426277399
c_rec/quantile_Q1_MAE: 0.5428452492
c_rec/quantile_Q1_mean: 0.9463694096
c_rec/quantile_Q2_count: 575
c_rec/quantile_Q2_MSE: 0.7409123182
c_rec/quantile_Q2_MAE: 0.5539242029
c_rec/quantile_Q2_mean: 0.9533345103
c_rec/quantile_Q3_count: 575
c_rec/quantile_Q3_MSE: 0.7329537868
c_rec/quantile_Q3_MAE: 0.5536167026
c_rec/quantile_Q3_mean: 0.9567552805
c_rec/quantile_Q4_count: 574
c_rec/quantile_Q4_MSE: 0.6459411383
c_rec/quantile_Q4_MAE: 0.5240463614
c_rec/quantile_Q4_mean: 0.9600136876
c_rec/quantile_Q5_count: 574
c_rec/quantile_Q5_MSE: 0.66711092
c_rec/quantile_Q5_MAE: 0.5391839147
c_rec/quantile_Q5_mean: 0.9648348093
correlation/spearman_c_pred_sample_mse: -0.00812029736
correlation/spearman_c_pred_sample_mae: -0.02354450772
c_pred/quantile_Q1_count: 575
c_pred/quantile_Q1_MSE: 0.7085602283
c_pred/quantile_Q1_MAE: 0.5401033759
