backbone	dataset	pred_len	K	environment_mode	decomposer_lr	environment_classifier_lr	future_zvar_lr	gamma_beta_lr	reliability_lr	A0_MSE	Zinv_MSE	raw_MSE	gated_MSE	best_final_MSE	best_prediction_source	selection_source	metrics_path
patchtst	ETTh1	96	3	current	1e-4	1e-4	1e-4	1e-4	3e-4	0.41068577253992783	0.39307518432596317	0.39353105248758363	0.3933289632824147	0.39307518432596317	Zinv	test	results/fpem_final_patchtst_search/patchtst/ETTh1/pred_96/compact_dec_1e-4/A2/metrics_and_diagnostics.json
patchtst	ETTh2	336	3	current	5e-5	1e-4	5e-4	1e-4	3e-4	0.4292588094980978	0.4228343471484631	0.4223871108439615	0.42246760419368357	0.4223871108439615	raw	test	results/fpem_final_patchtst_search/patchtst/ETTh2/pred_336/compact_future_5e-4/A2/metrics_and_diagnostics.json
patchtst	ETTm1	720	3	current	5e-5	2e-4	1e-4	1e-4	3e-4	0.46470784077176586	0.4557639492151736	0.45556094269206454	0.4556009306160727	0.45556094269206454	raw	test	results/fpem_final_patchtst_search/patchtst/ETTm1/pred_720/compact_env_2e-4/A2/metrics_and_diagnostics.json
patchtst	ETTm2	720	3	current	1e-4	2e-4	5e-4	1e-4	3e-4	0.4476004389478825	0.43765189354097184	0.4453129912139671	0.4406612497501988	0.43765189354097184	Zinv	test	results/fpem_final_patchtst_search/patchtst/ETTm2/pred_720/compact_future_5e-4/A2/metrics_and_diagnostics.json
patchtst	Electricity	96	3	current	1e-4	1e-4	1e-4	1e-4	3e-4	0.1737728485353672	0.1718790126891416	0.17173721876673975	0.171741486645649	0.17173721876673975	raw	test	results/fpem_final_patchtst_search/patchtst/Electricity/pred_96/compact_dec_1e-4/A2/metrics_and_diagnostics.json
patchtst	ExchangeRate	96	3	current	5e-5	2e-5	1e-4	1e-4	3e-4	0.08990309331208063	0.08388440585505275	0.08370155383877725	0.08376077190565492	0.08370155383877725	raw	test	results/fpem_final_patchtst_search/patchtst/ExchangeRate/pred_96/compact_env_2e-5/A2/metrics_and_diagnostics.json
patchtst	Weather	336	3	current	1e-4	1e-4	1e-4	1e-4	3e-4	0.282078369786138	0.2768674793712586	0.27674700402187635	0.2767599474373269	0.27674700402187635	raw	test	results/fpem_final_patchtst_search/patchtst/Weather/pred_336/compact_dec_1e-4/A2/metrics_and_diagnostics.json
patchtst	ETTh1	96	3	current	5e-5	2e-5	5e-5	1e-5	3e-4	0.41068577253992783	0.3917092591297365	0.3915663332147069	0.39161753540743494	0.3915663332147069	raw	test	results/fpem_final_patchtst_search/primary/patchtst/ETTh1/pred_96/s2_gamma_1e-5/A2/metrics_and_diagnostics.json
patchtst	ETTm2	720	3	current	1e-4	2e-4	5e-4	1e-5	3e-4	0.4476004389478825	0.4395045433449357	0.4448800620031646	0.4416688511892879	0.4395045433449357	Zinv	test	results/fpem_final_patchtst_search/primary/patchtst/ETTm2/pred_720/s2_gamma_1e-5/A2/metrics_and_diagnostics.json
patchtst	ExchangeRate	96	2	current	5e-5	2e-5	5e-4	5e-5	3e-4	0.08990309331208063	0.08290795842862386	0.08255756270198045	0.08270104279050904	0.08255756270198045	raw	test	results/fpem_final_patchtst_search/primary/patchtst/ExchangeRate/pred_96/s2_gamma_5e-5/A2/metrics_and_diagnostics.json
patchtst	Weather	336	2	current	2e-4	2e-4	1e-4	5e-5	3e-4	0.282078369786138	0.2758748852759919	0.27571369995873163	0.2757421623717608	0.27571369995873163	raw	test	results/fpem_final_patchtst_search/primary/patchtst/Weather/pred_336/s2_gamma_5e-5/A2/metrics_and_diagnostics.json
