sample,mae_full,mae_inv_only,better_full_or_inv
0,0.38026297092437744,0.3983110785484314,full
1,0.3922109603881836,0.40527579188346863,full
2,0.3939723074436188,0.4177654981613159,full
3,0.3950609564781189,0.4190271496772766,full
4,0.3927042782306671,0.404448002576828,full
5,0.4014349579811096,0.4181479513645172,full
6,0.4006090760231018,0.4138600528240204,full
7,0.40366390347480774,0.43683910369873047,full
8,0.4180960953235626,0.4598996043205261,full
9,0.39357104897499084,0.44850367307662964,full
10,0.34677034616470337,0.42205286026000977,full
11,0.305782675743103,0.377573162317276,full
12,0.33629339933395386,0.35552066564559937,full
13,0.35563355684280396,0.3524380922317505,inv_only
14,0.38919731974601746,0.3599776029586792,inv_only
15,0.3645934760570526,0.3509291410446167,inv_only
16,0.3572746217250824,0.3396487534046173,inv_only
17,0.3488391041755676,0.3398176431655884,inv_only
18,0.3313102126121521,0.33508047461509705,full
19,0.33254295587539673,0.32629287242889404,inv_only
20,0.3345452547073364,0.329876571893692,inv_only
21,0.3357744812965393,0.3330831527709961,inv_only
22,0.3480789065361023,0.3391548991203308,inv_only
23,0.3442486822605133,0.32271045446395874,inv_only
24,0.3674984872341156,0.3361521363258362,inv_only
25,0.3651914894580841,0.3380860686302185,inv_only
26,0.3492545783519745,0.33568891882896423,inv_only
27,0.3626578748226166,0.34890061616897583,inv_only
28,0.34077757596969604,0.3395926356315613,inv_only
29,0.3809904456138611,0.3478443920612335,inv_only
30,0.3635285794734955,0.3483603298664093,inv_only
31,0.35585924983024597,0.35200735926628113,inv_only
32,0.3847614526748657,0.356762558221817,inv_only
33,0.3665253818035126,0.35153672099113464,inv_only
34,0.3477024435997009,0.3475516140460968,inv_only
35,0.3292883038520813,0.33680811524391174,full
36,0.33672937750816345,0.3350377678871155,inv_only
37,0.35649609565734863,0.3430059254169464,inv_only
38,0.3630146384239197,0.3463208079338074,inv_only
39,0.31376102566719055,0.3193766474723816,full
40,0.2996111214160919,0.31116747856140137,full
41,0.30325934290885925,0.2896842658519745,inv_only
42,0.31246572732925415,0.29149582982063293,inv_only
43,0.29119420051574707,0.29152506589889526,full
44,0.2959286570549011,0.29975590109825134,full
45,0.29252326488494873,0.3095226287841797,full
46,0.28286606073379517,0.3173535168170929,full
47,0.28554895520210266,0.30272918939590454,full
48,0.28394508361816406,0.2992633581161499,full
49,0.26653143763542175,0.3044889271259308,full
50,0.26528072357177734,0.303824782371521,full
51,0.25287508964538574,0.3029278516769409,full
52,0.2739219665527344,0.3100964426994324,full
53,0.2865307331085205,0.3005501627922058,full
